Category,SubCategory,Value1,Value2,Value3,Label,,,,
Header,Title,,,,UAN Capturing Activity,,,,
Header,Subtitle,,,,May 2026 · Monthly Performance Report,,,,
Header,LastUpdated,,,,20-May-26,,,,
KPI,PriorMonth,464,,,,,,,
KPI,CurrentMonth,3217,,,,,,,
KPI,TotalPendency,3681,,,,,,,
Funnel,OffersCreated,26864,,,,,,,
Funnel,AfterRemovals,23973,,,,,,,
Funnel,UANApplicable,23555,,,,,,,
Funnel,UANReceived,20338,,,,,,,
Weekly,Week 1(May'26),397,,,,,,,
Weekly,Week 2(May'26),629,,,,,,,
Weekly,Week 3(May'26),2191,,,,,,,
Trend,Sep '25,4,,,,,,,
Trend,Oct '25,10,,,,,,,
Trend,Nov '25,5,,,,,,,
Trend,Dec '25,10,,,,,,,
Trend,Jan '26,14,,,,,,,
Trend,Feb '26,47,,,,,,,
Trend,Mar '26,94,,,,,,,
Trend,Apr'26,280,,,,,,,
Calling,Call Is Unanswered,1159,133,1292,,,,,
Calling,Associate Disconnected The Call,811,195,1006,,,,,
Calling,Not Dialed,746,0,746,,,,,
Calling,Will Generate Later By Self,182,43,225,,,,,
Calling,Associate Not Joined,135,23,158,,,,,
Calling,Language Barrier,61,15,76,,,,,
Calling,Left The Job,20,25,45,,,,,
Calling,Requested For Callback,38,6,44,,,,,
Calling,Right Person Not Available,17,10,27,,,,,
Calling,Wrong Mobile Number,13,5,18,,,,,
Calling,Epfo Or Umang App Server Issue,7,0,7,,,,,
Calling,Uan Generated And Face Authentication Done,5,1,6,,,,,
Calling,Aadhaar linked mobile number not available,5,1,6,,,,,
Calling,Face Rd App Not Working,4,2,6,,,,,
Calling,Not Willing To Generate UAN,5,0,5,,,,,
Calling,UAN Generated but Face Authentication Pending,5,0,5,,,,,
Calling,Technical issue observed on call,3,0,3,,,,,
Calling,Otp Not Received From Uidai Portal,0,2,2,,,,,
Calling,Used Foul Language,1,1,2,,,,,
Calling,Not Willing To Talk,0,2,2,,,,,
CallingSummary,Current Month,3217,,,,,,,
CallingSummary,Prior,464,,,,,   ,,
CallingSummary,Total,3681,,,,,,,
Vertical,BFSI,409,305,,714,,,,
Vertical,CRT,1079,899,102,2080,    ,,,
Vertical,M&A,349,47,,396,,,,    
Vertical,VAS,20,7,,27,,,,
